TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
65.611288,10.0.0.1:56084,10.0.0.2:5000,6,133,0.435,75,0,0,252
65.611454,10.0.0.1:56084,10.0.0.2:5000,6,134,0.440,75,0,0,252
65.614880,10.0.0.1:56084,10.0.0.2:5000,6,134,0.352,75,0,0,252
65.618918,10.0.0.1:56084,10.0.0.2:5000,6,133,0.355,75,0,0,252
65.625901,10.0.0.1:56084,10.0.0.2:5000,6,134,0.449,75,0,0,252
65.632529,10.0.0.1:56084,10.0.0.2:5000,6,134,0.899,75,0,0,252
65.633653,10.0.0.1:56084,10.0.0.2:5000,6,134,0.930,75,0,0,252
65.636240,10.0.0.1:56084,10.0.0.2:5000,6,133,0.948,75,0,0,252
65.641975,10.0.0.1:56084,10.0.0.2:5000,6,133,0.802,75,0,0,252
65.645021,10.0.0.1:56084,10.0.0.2:5000,6,133,0.662,75,0,0,252
65.655363,10.0.0.1:56084,10.0.0.2:5000,6,133,0.671,75,0,0,252
65.660853,10.0.0.1:56084,10.0.0.2:5000,6,134,0.983,75,0,0,252
65.661198,10.0.0.1:56084,10.0.0.2:5000,6,133,0.969,75,0,0,252
65.679969,10.0.0.1:56084,10.0.0.2:5000,6,134,1.237,75,0,0,252
65.683619,10.0.0.1:56084,10.0.0.2:5000,6,134,1.016,75,0,0,252
65.684653,10.0.0.1:56084,10.0.0.2:5000,6,134,0.969,75,0,0,252
65.691979,10.0.0.1:56084,10.0.0.2:5000,6,134,0.952,75,0,0,252
65.695003,10.0.0.1:56084,10.0.0.2:5000,6,135,1.282,75,0,0,252
65.699481,10.0.0.1:56084,10.0.0.2:5000,6,135,1.174,75,0,0,252
65.702684,10.0.0.1:56084,10.0.0.2:5000,6,135,1.095,75,0,0,252
65.709320,10.0.0.1:56084,10.0.0.2:5000,6,135,0.891,75,0,0,252
65.717199,10.0.0.1:56084,10.0.0.2:5000,6,135,0.900,75,0,0,252
65.717455,10.0.0.1:56084,10.0.0.2:5000,6,134,0.900,75,0,0,252
65.721284,10.0.0.1:56084,10.0.0.2:5000,6,134,0.870,75,0,0,252
65.725016,10.0.0.1:56084,10.0.0.2:5000,6,134,0.763,75,0,0,252
65.725526,10.0.0.1:56084,10.0.0.2:5000,6,134,0.772,75,0,0,252
65.725654,10.0.0.1:56084,10.0.0.2:5000,6,134,0.775,75,0,0,252
65.729528,10.0.0.1:56084,10.0.0.2:5000,6,133,0.744,75,0,0,252
65.733464,10.0.0.1:56084,10.0.0.2:5000,6,134,0.908,76,0,0,252
65.733729,10.0.0.1:56084,10.0.0.2:5000,6,133,0.923,76,0,0,252
65.735934,10.0.0.1:56084,10.0.0.2:5000,6,133,0.726,76,0,0,252
65.739107,10.0.0.1:56084,10.0.0.2:5000,6,133,0.659,76,0,0,252
65.739576,10.0.0.1:56084,10.0.0.2:5000,6,133,0.534,76,0,0,252
65.739598,10.0.0.1:56084,10.0.0.2:5000,6,133,0.433,76,0,0,252
65.741205,10.0.0.1:56084,10.0.0.2:5000,6,133,0.480,76,0,0,252
65.746981,10.0.0.1:56084,10.0.0.2:5000,6,133,0.659,76,0,0,252
65.747192,10.0.0.1:56084,10.0.0.2:5000,6,133,0.656,76,0,0,252
65.749551,10.0.0.1:56084,10.0.0.2:5000,6,133,0.645,76,0,0,252
65.752912,10.0.0.1:56084,10.0.0.2:5000,6,133,0.522,76,0,0,252
65.760147,10.0.0.1:56084,10.0.0.2:5000,6,133,0.459,76,0,0,252
65.766909,10.0.0.1:56084,10.0.0.2:5000,6,133,0.428,76,0,0,252
65.767200,10.0.0.1:56084,10.0.0.2:5000,6,133,0.431,76,0,0,252
65.770089,10.0.0.1:56084,10.0.0.2:5000,6,134,0.781,76,0,0,252
